SA1_internal_2021	MotorVehicles.min	occupied_private_dwellings
20486	3	27
20486	4	12
20487		5
20487	1	36
20487	2	67
20487	3	30
20487	4	12
20488		8
20488	1	26
20488	2	50
20488	3	21
20488	4	26
20489		9
20489	1	46
20489	2	95
20489	3	29
20489	4	20
20490		8
20490	1	34
20490	2	63
20490	3	34
20490	4	19
20491		4
20491	0	8
20491	1	46
20491	2	43
20491	3	16
20491	4	12
20492		4
20492	0	10
20492	1	60
20492	2	55
20492	3	8
20492	4	4
20493	1	36
20493	2	75
20493	3	48
20493	4	41
20494	0	4
20494	1	74
20494	2	52
20494	3	20
20494	4	7
20495		3
20495	1	19
20495	2	26
20495	3	21
20495	4	14
20496	1	25
20496	2	80
20496	3	38
20496	4	28
20497	1	22
20497	2	86
20497	3	23
20497	4	25
20498		3
20498	0	6
20498	1	30
20498	2	97
20498	3	39
20498	4	37
20499		3
20499	1	32
20499	2	74
20499	3	44
20499	4	35
20500		4
20500	1	19
20500	2	45
20500	3	35
20500	4	20
20501		4
20501	1	24
20501	2	58
20501	3	22
20501	4	21
20502	1	22
20502	2	66
20502	3	39
20502	4	27
20503	1	15
20503	2	22
20503	3	21
20503	4	27
20504		6
20504	1	29
20504	2	65
20504	3	32
20504	4	18
20505	0	6
20505	1	48
20505	2	78
20505	3	22
20505	4	12
20506	1	37
20506	2	62
20506	3	16
20506	4	11
20507		3
20507	0	10
20507	1	77
20507	2	84
20507	3	25
20507	4	13
20508		3
20508	0	17
20508	1	120
20508	2	74
20508	3	18
20508	4	5
20509	0	19
20509	1	43
20509	2	34
20509	3	12
20509	4	3
20510		4
20510	0	12
20510	1	72
20510	2	61
20510	3	15
20511		5
20511	0	16
20511	1	80
20511	2	75
20511	3	17
20511	4	4
20512		13
20512	0	26
20512	1	86
20512	2	73
20512	3	18
20512	4	11
20513	0	20
20513	1	87
20513	2	94
20513	3	17
20513	4	18
20514		5
20514	0	7
20514	1	129
20514	2	144
20514	3	48
20514	4	26
20515	1	55
20515	2	74
20515	3	22
20515	4	11
20516	1	5
20517		6
20517	0	5
20517	1	54
20517	2	55
20517	3	8
20517	4	17
20518	1	22
20518	2	39
20518	3	26
20518	4	40
20519	1	11
20519	2	28
20519	3	17
20519	4	8
20520	0	6
20520	1	98
20520	2	120
20520	3	38
20520	4	10
20521		3
20521	0	4
20521	1	122
20521	2	152
20521	3	48
20521	4	12
20522		6
20522	1	14
20522	2	64
20522	3	43
20522	4	34
20523	1	21
20523	2	100
20523	3	37
20523	4	25
20524	1	15
20524	2	60
20524	3	34
20524	4	19
20525		5
20525	1	37
20525	2	103
20525	3	36
20525	4	19
20526		5
20526	1	13
20526	2	23
20526	3	11
20526	4	10
20527	1	18
20527	2	50
20527	3	20
20527	4	23
20528	1	22
20528	2	50
20528	3	24
20528	4	21
20529	0	5
20529	1	67
20529	2	81
20529	3	30
20529	4	15
20530		3
20530	0	8
20530	1	50
20530	2	51
20530	3	16
20530	4	9
20531	0	3
20531	1	56
20531	2	77
20531	3	27
20531	4	18
20532		4
20532	0	3
20532	1	47
20532	2	49
20532	3	10
20532	4	7
20533		9
20533	0	31
20533	1	124
20533	2	67
20533	3	11
20533	4	4
20534		4
20534	0	7
20534	1	88
20534	2	69
20534	3	21
20534	4	10
20535	1	56
20535	2	35
20536	1	15
20536	2	61
20536	3	32
20536	4	28
20537	1	24
20537	2	82
20537	3	40
20537	4	35
20538	0	5
20538	1	58
20538	2	56
20538	3	27
20538	4	10
20539	1	30
20539	2	48
20539	3	22
20539	4	16
20540		4
20540	1	10
20540	2	30
20540	3	25
20540	4	27
20541	1	22
20541	2	55
20541	3	25
20541	4	34
20542	0	3
20542	1	35
20542	2	44
20542	3	39
20542	4	30
20543		4
20543	0	5
20543	1	29
20543	2	60
20543	3	42
20543	4	53
20544	0	3
20544	1	20
20544	2	47
20544	3	27
20544	4	19
20545	1	16
20545	2	42
20545	3	32
20545	4	25
20546	0	5
20546	1	10
20546	2	30
20546	3	18
20546	4	20
20547		4
20547	1	19
20547	2	54
20547	3	35
20547	4	31
20548	1	11
20548	2	38
20548	3	18
20548	4	12
20549		4
20549	0	8
20549	1	67
20549	2	58
20549	3	20
20549	4	3
20550		7
20550	0	12
20550	1	68
20550	2	69
20550	3	22
20550	4	13
20551	0	5
20551	1	43
20551	2	51
20551	3	25
20551	4	10
20552	0	5
20552	1	15
20552	2	23
20552	3	22
20552	4	27
20553		6
20553	1	48
20553	2	56
20553	3	30
20553	4	17
20554		3
20554	1	19
20554	2	42
20554	3	20
20554	4	20
20555		4
20555	1	40
20555	2	56
20555	3	23
20555	4	31
20556		3
20556	0	3
20556	1	31
20556	2	56
20556	3	29
20556	4	26
20557		4
20557	1	36
20557	2	51
20557	3	32
20557	4	30
20558		3
20558	0	4
20558	1	35
20558	2	49
20558	3	27
20558	4	14
20559		6
20559	0	3
20559	1	37
20559	2	28
20559	3	18
20559	4	10
20560	1	10
20560	2	14
20560	3	18
20560	4	11
20561	0	3
20561	1	17
20561	2	32
20561	3	25
20561	4	27
20562	1	13
20562	2	51
20562	3	32
20562	4	35
20563		5
20563	0	6
20563	1	67
20563	2	49
20563	3	17
20563	4	13
20564		4
20564	0	9
20564	1	41
20564	2	50
20564	3	28
20564	4	4
20565	1	38
20565	2	37
20565	3	28
20565	4	35
20566		3
20566	0	3
20566	1	25
20566	2	52
20566	3	45
20566	4	34
20567		6
20567	0	12
20567	1	59
20567	2	61
20567	3	25
20567	4	3
20568		3
20568	0	12
20568	1	38
20568	2	30
20568	3	21
20568	4	3
20569		9
20569	0	8
20569	1	37
20569	2	24
20569	3	16
20569	4	3
20570		5
20570	0	9
20570	1	47
20570	2	49
20570	3	15
20570	4	10
20571		3
20571	0	6
20571	1	40
20571	2	47
20571	3	27
20571	4	9
20572	1	27
20572	2	77
20572	3	31
20572	4	19
20573	1	15
20573	2	119
20573	3	47
20573	4	86
20574		3
20574	1	25
20574	2	85
20574	3	35
20574	4	46
20575		3
20575	1	9
20575	2	59
20575	3	37
20575	4	46
20576	0	3
20576	1	62
20576	2	116
20576	3	49
20576	4	22
20577	0	3
20577	1	66
20577	2	43
20577	3	21
20577	4	6
20578	1	8
20578	2	37
20578	3	28
20578	4	22
20579		6
20579	0	3
20579	1	81
20579	2	235
20579	3	72
20579	4	22
20580	0	5
20580	1	87
20580	2	124
20580	3	39
20580	4	24
20581	1	3
20581	2	28
20581	3	14
20581	4	11
20582	1	6
20582	2	52
20582	3	18
20582	4	18
20583	1	4
20583	2	29
20583	3	20
20583	4	22
20584		6
20584	0	4
20584	1	22
20584	2	102
20584	3	55
20584	4	67
20585		5
20585	1	18
20585	2	55
20585	3	31
20585	4	27
20586		6
20586	1	42
20586	2	70
20586	3	24
20586	4	20
20587		3
20587	0	4
20587	1	35
20587	2	76
20587	3	60
20587	4	40
20588	1	13
20588	2	28
20588	3	21
20588	4	19
20589		3
20589	1	43
20589	2	74
20589	3	42
20589	4	19
20590		6
20590	1	31
20590	2	123
20590	3	68
20590	4	57
20591	1	5
20591	2	33
20591	3	26
20591	4	38
20592	1	13
20592	2	44
20592	3	25
20592	4	25
20593		4
20593	1	21
20593	2	58
20593	3	42
20593	4	39
20594		3
20594	1	20
20594	2	50
20594	3	34
20594	4	35
20595		3
20595	0	3
20595	1	19
20595	2	55
20595	3	25
20595	4	24
20596	1	50
20596	2	102
20596	3	52
20596	4	52
20597		4
20597	0	5
20597	1	35
20597	2	65
20597	3	33
20597	4	26
20598	1	23
20598	2	87
20598	3	51
20598	4	40
20599	1	16
20599	2	51
20599	3	22
20599	4	26
20600	1	41
20600	2	111
20600	3	64
20600	4	29
20601		3
20601	0	7
20601	1	58
20601	2	35
20601	3	15
20601	4	7
20602		4
20602	1	23
20602	2	67
20602	3	58
20602	4	59
20603	1	10
20603	2	58
20603	3	27
20603	4	16
20604		5
20604	1	41
20604	2	68
20604	3	29
20604	4	20
20605	0	3
20605	1	15
20605	2	48
20605	3	19
20605	4	25
20606	1	3
20606	2	32
20606	3	22
20606	4	20
20607	0	5
20607	1	19
20607	2	65
20607	3	33
20607	4	38
20608		5
20608	1	15
20608	2	24
20608	3	18
20608	4	23
20609		3
20609	1	8
20609	2	51
20609	3	25
20609	4	21
20610	1	17
20610	2	57
20610	3	34
20610	4	16
20611	1	16
20611	2	57
20611	3	23
20611	4	23
20612	0	8
20612	1	36
20612	2	50
20612	3	9
20612	4	22
20613	1	5
20613	2	44
20613	3	24
20613	4	21
20614		6
20614	1	46
20614	2	70
20614	3	30
20614	4	26
20615	1	14
20615	2	44
20615	3	14
20615	4	6
20616	0	5
20616	1	37
20616	2	43
20616	3	21
20616	4	13
20617		3
20617	1	13
20617	2	76
20617	3	25
20617	4	30
20618		9
20618	0	4
20618	1	69
20618	2	63
20618	3	24
20618	4	9
20619	1	58
20619	2	79
20619	3	22
20619	4	13
20620		8
20620	0	15
20620	1	106
20620	2	105
20620	3	21
20620	4	7
20621	0	10
20621	1	61
20621	2	56
20621	3	13
20621	4	7
20622	0	3
20622	1	60
20622	2	57
20622	3	20
20622	4	10
20623		9
20623	0	23
20623	1	110
20623	2	68
20623	3	10
20623	4	11
20624	0	24
20624	1	95
20624	2	51
20624	3	9
20624	4	6
20625		3
20625	0	23
20625	1	74
20625	2	72
20625	3	14
20625	4	17
20627	0	18
20627	1	83
20627	2	103
20627	3	22
20627	4	9
20628	0	10
20628	1	45
20628	2	46
20628	3	12
20628	4	5
20629	0	12
20629	1	92
20629	2	103
20629	3	24
20629	4	15
20630	0	19
20630	1	108
20630	2	75
20630	3	15
20630	4	3
20631	0	9
20631	1	48
20631	2	72
20631	3	7
20631	4	6
20632	0	7
20632	1	74
20632	2	61
20632	3	10
20632	4	8
20633	0	11
20633	1	90
20633	2	84
20633	3	24
20633	4	8
20634	0	16
20634	1	104
20634	2	83
20634	3	22
20634	4	9
20635		6
20635	0	14
20635	1	110
20635	2	97
20635	3	29
20635	4	10
20636		8
20636	0	8
20636	1	97
20636	2	71
20636	3	25
20636	4	4
20637	0	8
20637	1	49
20637	2	54
20637	3	11
20637	4	6
20638		5
20638	0	16
20638	1	62
20638	2	58
20638	3	25
20638	4	7
20639	1	46
20639	2	63
20639	3	16
20639	4	12
20640	0	11
20640	1	91
20640	2	81
20640	3	24
20640	4	10
20641		3
20641	0	13
20641	1	113
20641	2	84
20641	3	27
20641	4	4
20642		3
20642	0	16
20642	1	143
20642	2	92
20642	3	29
20642	4	3
20643	0	11
20643	1	67
20643	2	42
20643	3	14
20643	4	5
20644		3
20644	0	22
20644	1	85
20644	2	83
20644	3	21
20644	4	5
20645		9
20645	0	37
20645	1	159
20645	2	89
20645	3	29
20645	4	10
20646	0	16
20646	1	60
20646	2	63
20646	3	16
20646	4	3
20647		7
20647	0	18
20647	1	112
20647	2	94
20647	3	21
20647	4	6
20648		3
20648	0	9
20648	1	98
20648	2	75
20648	3	24
20648	4	10
20649		5
20649	0	18
20649	1	72
20649	2	84
20649	3	15
20649	4	5
20650	1	45
20650	2	34
20650	3	6
20650	4	7
20651		7
20651	0	29
20651	1	82
20651	2	61
20651	3	19
20651	4	12
20652	0	25
20652	1	76
20652	2	59
20652	3	11
20652	4	10
20653	0	9
20653	1	54
20653	2	40
20653	3	11
20653	4	11
20654	0	14
20654	1	106
20654	2	70
20654	3	27
20654	4	6
20655		3
20655	0	16
20655	1	82
20655	2	56
20655	3	13
20655	4	9
20656	0	9
20656	1	67
20656	2	54
20656	3	22
20656	4	8
20657		3
20657	0	58
20657	1	225
20657	2	99
20657	3	20
20657	4	3
20658		3
20658	0	9
20658	1	63
20658	2	43
20658	3	8
20658	4	4
20659	0	24
20659	1	107
20659	2	69
20659	3	12
20659	4	4
20660	0	10
20660	1	73
20660	2	63
20660	3	5
20660	4	10
20661		3
20661	0	10
20661	1	99
20661	2	96
20661	3	21
20661	4	3
20662		7
20662	0	10
20662	1	128
20662	2	75
20662	3	25
20662	4	19
20663		4
20663	0	29
20663	1	72
20663	2	40
20663	3	11
20663	4	7
20664	0	3
20664	1	61
20664	2	70
20664	3	14
20664	4	7
20665	0	10
20665	1	65
20665	2	65
20665	3	17
20665	4	5
20666		3
20666	0	12
20666	1	103
20666	2	93
20666	3	27
20666	4	13
20667	0	7
20667	1	84
20667	2	74
20667	3	16
20667	4	11
20668	0	6
20668	1	30
20668	2	42
20668	3	7
20668	4	3
20669	0	12
20669	1	84
20669	2	68
20669	3	17
20669	4	5
20670		3
20670	0	15
20670	1	66
20670	2	81
20670	3	21
20670	4	13
20671	0	4
20671	1	58
20671	2	62
20671	3	24
20671	4	18
20672	0	11
20672	1	85
20672	2	64
20672	3	16
20672	4	5
20673	0	4
20673	1	78
20673	2	70
20673	3	12
20673	4	7
20674	0	22
20674	1	79
20674	2	73
20674	3	22
20674	4	8
20675		5
20675	0	18
20675	1	77
20675	2	59
20675	3	12
20675	4	6
20676		3
20676	0	44
20676	1	106
20676	2	59
20676	3	11
20678		4
20678	0	21
20678	1	56
20678	2	31
20678	3	11
20678	4	6
20679	0	17
20679	1	49
20679	2	28
20679	3	13
20679	4	6
20680	0	9
20680	1	42
20680	2	30
20680	3	15
20680	4	10
20681	0	8
20681	1	48
20681	2	41
20681	3	14
20681	4	6
20683	0	17
20683	1	48
20683	2	18
20684		3
20684	0	21
20684	1	33
20684	2	20
20684	3	10
20685		5
20685	0	26
20685	1	112
20685	2	26
20685	3	5
20685	4	6
20686	0	6
20686	1	62
20686	2	74
20686	3	29
20686	4	13
20687		4
20687	0	18
20687	1	73
20687	2	78
20687	3	21
20687	4	20
20688	0	11
20688	1	73
20688	2	66
20688	3	16
20688	4	3
20689	0	10
20689	1	101
20689	2	98
20689	3	17
20689	4	15
20690	0	11
20690	1	33
20690	2	46
20690	3	5
20690	4	4
20691	0	14
20691	1	63
20691	2	54
20691	3	5
20691	4	6
20692		3
20692	0	9
20692	1	61
20692	2	70
20692	3	16
20692	4	3
20693		8
20693	0	11
20693	1	86
20693	2	66
20693	3	20
20693	4	4
20694	0	22
20694	1	77
20694	2	61
20694	3	13
20695	0	21
20695	1	65
20695	2	61
20695	3	8
20696		3
20696	0	10
20696	1	69
20696	2	63
20696	3	9
20696	4	3
20697		3
20697	0	22
20697	1	95
20697	2	80
20697	3	15
20697	4	7
20698	0	14
20698	1	61
20698	2	46
20698	3	17
20699		3
20699	0	15
20699	1	80
20699	2	70
20699	3	13
20699	4	5
20700		9
20700	0	29
20700	1	95
20700	2	79
20700	3	23
20700	4	3
20701	0	22
20701	1	114
20701	2	72
20701	3	12
20701	4	4
20702		3
20702	0	9
20702	1	65
20702	2	62
20702	3	11
20702	4	9
20703		5
20703	0	43
20703	1	131
20703	2	91
20703	3	16
20703	4	7
20704	0	13
20704	1	56
20704	2	43
20704	3	15
20704	4	4
20705	0	3
20705	1	44
20705	2	32
20705	3	12
20706	0	14
20706	1	71
20706	2	55
20706	3	14
20706	4	7
20707	0	18
20707	1	65
20707	2	47
20707	3	9
20707	4	8
20708		3
20708	0	14
20708	1	68
20708	2	52
20708	3	16
20708	4	3
20709	0	8
20709	1	69
20709	2	60
20709	3	18
20709	4	6
20710	0	14
20710	1	104
20710	2	95
20710	3	15
20710	4	4
20711	0	38
20711	1	96
20711	2	64
20711	3	9
20711	4	3
20712		4
20712	0	3
20712	1	53
20712	2	53
20712	3	9
20713	0	3
20713	1	35
20713	2	40
20713	3	9
20713	4	5
20714	0	26
20714	1	86
20714	2	49
20714	3	21
20714	4	10
20715	0	8
20715	1	68
20715	2	30
20715	3	11
20715	4	6
20716	0	9
20716	1	107
20716	2	93
20716	3	31
20716	4	13
20717	0	8
20717	1	55
20717	2	37
20717	3	11
20717	4	4
20718	0	19
20718	1	73
20718	2	61
20718	3	15
20718	4	3
20719		3
20719	0	7
20719	1	69
20719	2	104
20719	3	26
20719	4	15
20720	0	8
20720	1	48
20720	2	83
20720	3	24
20720	4	13
20721	0	4
20721	1	21
20721	2	54
20721	3	24
20721	4	21
20722		3
20722	0	23
20722	1	93
20722	2	83
20722	3	11
20722	4	12
20723		6
20723	0	11
20723	1	102
20723	2	71
20723	3	21
20723	4	9
20724	0	5
20724	1	76
20724	2	61
20724	3	12
20724	4	8
20725		6
20725	0	15
20725	1	106
20725	2	118
20725	3	24
20725	4	10
20726	0	14
20726	1	97
20726	2	76
20726	3	12
20726	4	14
20727	0	5
20727	1	67
20727	2	73
20727	3	15
20727	4	10
20728		3
20728	0	11
20728	1	80
20728	2	85
20728	3	19
20728	4	10
20729		6
20729	0	9
20729	1	47
20729	2	55
20729	3	10
20729	4	10
20730		3
20730	0	5
20730	1	55
20730	2	48
20730	3	19
20730	4	7
20731	0	7
20731	1	43
20731	2	52
20731	3	14
20731	4	4
20732	0	3
20732	1	36
20732	2	44
20732	3	12
20733	0	13
20733	1	56
20733	2	41
20733	3	7
20733	4	3
20734	0	4
20734	1	64
20734	2	60
20734	3	15
20734	4	6
20735	1	3
20735	2	3
20735	4	8
20736	1	27
20736	2	63
20736	3	12
20736	4	12
20737	0	3
20737	1	43
20737	2	160
20737	3	32
20737	4	17
20738	0	9
20738	1	56
20738	2	107
20738	3	14
20738	4	6
20739	0	6
20739	1	51
20739	2	102
20739	3	38
20739	4	16
20740	0	7
20740	1	55
20740	2	75
20740	3	28
20741	1	18
20741	2	63
20741	3	17
20741	4	9
20742	1	20
20742	2	74
20742	3	16
20742	4	18
20743		3
20743	0	3
20743	1	45
20743	2	117
20743	3	35
20743	4	21
20744	0	16
20744	1	130
20744	2	101
20744	3	20
20744	4	5
20745	0	13
20745	1	88
20745	2	97
20745	3	27
20745	4	3
20746		4
20746	1	42
20746	2	82
20746	3	16
20746	4	10
20747	1	41
20747	2	93
20747	3	39
20747	4	18
20748	0	10
20748	1	37
20748	2	66
20748	3	10
20748	4	8
20749		3
20749	0	3
20749	1	31
20749	2	59
20749	3	25
20749	4	9
20750	0	8
20750	1	67
20750	2	86
20750	3	18
20750	4	11
20751		3
20751	0	9
20751	1	79
20751	2	99
20751	3	23
20751	4	9
20752	0	7
20752	1	54
20752	2	65
20752	3	25
20752	4	13
20753	0	12
20753	1	102
20753	2	120
20753	3	17
20753	4	10
20754	0	13
20754	1	104
20754	2	72
20754	3	17
20754	4	4
20755		5
20755	1	17
20755	2	68
20755	3	23
20755	4	20
20756	1	14
20756	2	83
20756	3	28
20756	4	17
20757	1	46
20757	2	122
20757	3	22
20757	4	23
20758		4
20758	0	4
20758	1	85
20758	2	117
20758	3	22
20758	4	9
20759	1	24
20759	2	73
20759	3	29
20759	4	20
20760	0	6
20760	1	29
20760	2	29
20760	3	17
20760	4	12
20761	0	13
20761	1	69
20761	2	107
20761	3	17
20761	4	3
20762	0	14
20762	1	77
20762	2	85
20762	3	18
20762	4	10
20763	1	39
20763	2	76
20763	3	32
20763	4	17
20764		4
20764	0	20
20764	1	68
20764	2	44
20764	3	19
20764	4	13
20765		6
20765	0	20
20765	1	86
20765	2	60
20765	3	10
20765	4	6
20766		4
20766	0	12
20766	1	84
20766	2	77
20766	3	14
20766	4	6
20767	0	6
20767	1	42
20767	2	60
20767	3	17
20767	4	3
20768	0	4
20768	1	62
20768	2	112
20768	3	32
20768	4	13
20769		3
20769	0	13
20769	1	94
20769	2	79
20769	3	20
20769	4	13
20770	0	4
20770	1	59
20770	2	64
20770	3	11
20770	4	9
20771	0	3
20771	1	52
20771	2	48
20771	3	16
20771	4	8
20772	1	25
20772	2	44
20772	3	15
20772	4	6
20773	1	32
20773	2	86
20773	3	31
20773	4	22
20775	0	4
20775	1	11
20775	2	54
20775	3	23
20775	4	21
20776	2	5
20776	3	5
20776	4	10
20777		9
20777	0	4
20777	1	38
20777	2	53
20777	3	15
20777	4	24
20778	0	3
20778	1	27
20778	2	37
20778	3	11
20778	4	20
20779	0	14
20779	1	48
20779	2	42
20779	3	27
20779	4	28
20780	1	9
20780	2	68
20780	3	11
20780	4	13
20781	1	13
20781	2	47
20781	3	7
20781	4	9
20782	1	19
20782	2	70
20782	3	24
20782	4	10
20783	1	12
20783	2	49
20783	3	16
20783	4	5
20784	1	25
20784	2	112
20784	3	35
20784	4	19
20785	1	17
20785	2	58
20785	3	20
20785	4	5
20786	1	15
20786	2	49
20786	3	21
20786	4	13
20787		5
20787	1	10
20787	2	68
20787	3	26
20787	4	17
20788	0	6
20788	1	26
20788	2	90
20788	3	12
20788	4	19
20789	1	20
20789	2	43
20789	3	21
20789	4	12
20790	1	15
20790	2	59
20790	3	19
20790	4	9
20791	1	15
20791	2	54
20791	3	14
20792	1	10
20792	2	24
20792	3	11
20793		3
20793	0	3
20793	1	55
20793	2	76
20793	3	29
20793	4	21
20794	0	9
20794	1	31
20794	2	30
20794	3	16
20794	4	7
20795		3
20795	1	16
20795	2	25
20795	3	21
20795	4	30
20796	0	5
20796	1	12
20796	2	50
20796	3	41
20796	4	19
20797	1	17
20797	2	43
20797	3	33
20797	4	31
20798	1	12
20798	2	23
20798	3	21
20798	4	25
20799		7
20799	0	3
20799	1	19
20799	2	62
20799	3	30
20799	4	59
20800	2	4
20800	4	3
20801	1	7
20801	2	9
20801	3	3
20801	4	13
20802	0	7
20802	1	85
20802	2	64
20802	3	21
20802	4	11
20803		3
20803	1	13
20803	2	30
20803	3	20
20803	4	22
20804	1	14
20804	2	27
20804	3	24
20804	4	22
20805	0	8
20805	1	44
20805	2	66
20805	3	27
20805	4	12
20806	0	4
20806	1	38
20806	2	43
20806	3	14
20806	4	11
20807		3
20807	0	34
20807	1	57
20808	0	3
20808	1	34
20808	2	49
20808	3	18
20808	4	5
20809	1	12
20809	2	34
20809	3	16
20809	4	18
20810		4
20810	0	6
20810	1	61
20810	2	100
20810	3	21
20810	4	20
20811	1	27
20811	2	63
20811	3	35
20811	4	51
20812		6
20812	0	6
20812	1	72
20812	2	81
20812	3	25
20812	4	14
20813	0	4
20813	1	36
20813	2	45
20813	3	19
20813	4	16
20814	1	26
20814	2	65
20814	3	15
20814	4	3
20815	1	9
20815	2	3
20815	3	3
20816		4
20816	1	104
20816	2	251
20816	3	65
20816	4	20
20817	1	50
20817	2	79
20817	3	26
20817	4	12
20818	1	22
20818	2	71
20818	3	29
20818	4	25
20819	1	28
20819	2	51
20819	3	32
20819	4	20
20820		4
20820	0	5
20820	1	66
20820	2	105
20820	3	33
20820	4	20
20821	0	3
20821	1	51
20821	2	52
20821	3	19
20821	4	4
20822	0	13
20822	1	50
20822	2	67
20822	3	28
20822	4	13
20823		6
20823	0	8
20823	1	77
20823	2	59
20823	3	17
20823	4	8
20824	1	49
20824	2	70
20824	3	22
20824	4	16
20825	0	3
20825	1	67
20825	2	83
20825	3	28
20825	4	16
20826		6
20826	0	6
20826	1	27
20826	2	44
20826	3	35
20826	4	38
20827	0	3
20827	1	36
20827	2	53
20827	3	10
20827	4	5
20828		5
20828	1	42
20828	2	46
20828	3	29
20828	4	13
20829		3
20829	0	3
20829	1	85
20829	2	110
20829	3	42
20829	4	23
20830	1	25
20830	2	82
20830	3	21
20830	4	16
20831	1	34
20831	2	83
20831	3	23
20831	4	11
20832		3
20832	0	14
20832	1	151
20832	2	34
20832	3	8
20833	1	19
20833	2	45
20833	3	13
20834	1	25
20834	2	54
20834	3	25
20834	4	13
20835	1	4
20835	2	17
20835	3	15
20835	4	11
20836	1	30
20836	2	93
20836	3	21
20836	4	6
20837	1	43
20837	2	116
20837	3	30
20837	4	9
20838	1	22
20838	2	81
20838	3	30
20838	4	13
20839	1	31
20839	2	83
20839	3	34
20839	4	11
20840	0	5
20840	1	52
20840	2	75
20840	3	30
20840	4	19
20841		5
20841	1	46
20841	2	40
20841	3	21
20841	4	8
20842	1	55
20842	2	62
20842	3	19
20842	4	11
20843	0	5
20843	1	27
20843	2	52
20843	3	14
20843	4	4
20844	0	17
20844	1	69
20844	2	63
20844	3	27
20844	4	12
20845		4
20845	0	4
20845	1	66
20845	2	85
20845	3	25
20845	4	5
20846	1	53
20846	2	91
20846	3	35
20846	4	31
20847	0	6
20847	1	59
20847	2	76
20847	3	21
20847	4	10
20848	0	5
20848	1	31
20848	2	39
20848	3	18
20848	4	10
20849	0	4
20849	1	58
20849	2	98
20849	3	28
20849	4	13
20850		3
20850	0	7
20850	1	86
20850	2	69
20850	3	25
20850	4	13
20851	0	3
20851	1	24
20851	2	57
20851	3	29
20851	4	23
20852	0	5
20852	1	68
20852	2	84
20852	3	31
20852	4	9
20853		5
20853	0	4
20853	1	45
20853	2	72
20853	3	32
20853	4	23
20854	0	4
20854	1	82
20854	2	90
20854	3	23
20854	4	16
20855		3
20855	0	13
20855	1	120
20855	2	38
20855	3	12
20855	4	22
20856	0	3
20856	1	36
20856	2	38
20856	3	15
20856	4	7
20857		3
20857	1	104
20857	2	201
20857	3	67
20857	4	44
20858		3
20858	0	13
20858	1	83
20858	2	61
20858	3	19
20858	4	13
20859	0	6
20859	1	20
20859	2	44
20859	3	10
20859	4	11
20860	0	3
20860	1	44
20860	2	66
20860	3	16
20860	4	19
20861		5
20861	0	13
20861	1	81
20861	2	102
20861	3	32
20861	4	20
20862	1	15
20862	2	27
20862	3	13
20862	4	21
20863		3
20863	0	3
20863	1	64
20863	2	135
20863	3	45
20863	4	18
20864	1	63
20864	2	77
20864	3	19
20864	4	3
20865		7
20865	0	3
20865	1	96
20865	2	200
20865	3	45
20865	4	11
20866		5
20866	0	7
20866	1	98
20866	2	106
20866	3	35
20866	4	22
20867	1	9
20867	2	41
20867	3	29
20867	4	16
20868	0	22
20868	1	92
20868	2	80
20868	3	18
20868	4	7
20869	1	49
20869	2	54
20869	3	19
20869	4	20
20870		9
20870	0	26
20870	1	69
20870	2	41
20870	3	11
20870	4	6
20871		9
20871	0	76
20871	1	166
20871	2	47
20871	3	11
20871	4	10
20872		6
20872	0	17
20872	1	57
20872	2	89
20872	3	31
20872	4	13
20873		3
20873	0	7
20873	1	70
20873	2	78
20873	3	28
20873	4	12
20874		5
20874	0	5
20874	1	75
20874	2	64
20874	3	22
20874	4	16
20875		5
20875	0	8
20875	1	73
20875	2	90
20875	3	31
20875	4	15
20876	1	21
20876	2	60
20876	3	12
20876	4	11
20877		7
20877	0	10
20877	1	154
20877	2	91
20877	3	16
20877	4	27
20878	0	8
20878	1	91
20878	2	50
20878	3	19
20878	4	7
20879		11
20879	0	14
20879	1	105
20879	2	37
20879	3	15
20879	4	9
20880	0	13
20880	1	72
20880	2	55
20880	3	24
20880	4	8
20881		5
20881	0	21
20881	1	72
20881	2	57
20881	3	10
20881	4	3
20882	0	5
20882	1	50
20882	2	39
20882	3	13
20882	4	4
20883		8
20883	0	30
20883	1	105
20883	2	54
20883	3	21
20883	4	6
20884	0	5
20884	1	47
20884	2	91
20884	3	37
20884	4	29
20885	1	15
20885	2	34
20885	3	19
20885	4	22
20886		8
20886	0	6
20886	1	36
20886	2	52
20886	3	32
20886	4	53
20887		5
20887	0	36
20887	1	131
20887	2	74
20887	3	17
20887	4	8
20888	0	20
20888	1	78
20888	2	48
20888	3	12
20889		4
20889	0	5
20889	1	35
20889	2	49
20889	3	20
20889	4	31
20890		4
20890	0	12
20890	1	78
20890	2	53
20890	3	17
20890	4	8
20891		7
20891	0	9
20891	1	96
20891	2	60
20891	3	9
20891	4	3
20892		3
20892	0	11
20892	1	85
20892	2	46
20892	3	18
20892	4	7
20893		5
20893	0	3
20893	1	69
20893	2	52
20893	3	10
20893	4	12
20894		6
20894	0	4
20894	1	80
20894	2	60
20894	3	21
20894	4	5
20895		3
20895	0	23
20895	1	81
20895	2	50
20895	3	19
20895	4	14
20896		3
20896	0	13
20896	1	80
20896	2	45
20896	3	22
20896	4	14
20897		5
20897	0	32
20897	1	95
20897	2	67
20897	3	14
20897	4	8
20898		3
20898	0	16
20898	1	60
20898	2	61
20898	3	17
20899	0	13
